-23	-74	-23	319	-81	87	-29	-152	-287	-254	-411	-229	-240	-218	-344	75	57	66	100	43	76	236	-48	-126	-75	-41	-195	-321	-60	
27	71	-52	44	8	307	34	-177	-238	-179	-456	-322	-318	-410	-238	150	-28	124	132	156	344	277	-75	-114	-21	-115	-315	-288	-187	
116	24	-59	67	299	293	-159	-238	-309	-412	-852	-284	-718	-486	-346	335	-56	215	256	567	867	505	81	6	-31	-81	-275	-213	-107	
8	0	-23	-15	238	270	139	-94	-251	-1023	-1323	-596	-1110	-521	-442	85	158	531	322	1165	1394	407	188	57	-27	-202	-215	-181	7	
26	-8	35	620	432	412	349	278	-829	-1023	-1764	-1231	-1909	-972	-689	510	75	1190	756	1624	1834	776	382	64	-516	-384	-134	-54	-47	
-8	-45	-45	579	1118	631	288	-87	-1427	-1864	-1886	-1170	-2481	-1212	-764	-88	8	1387	1539	1536	1587	1248	833	412	-559	-801	-596	-194	-281	
-81	-74	400	626	1657	1480	52	-1152	-1657	-2398	-1916	-1866	-1848	-1182	-358	-105	308	1387	916	1536	1834	1370	1823	315	-601	-1183	-990	-187	-280	
-71	8	106	878	1715	614	-116	-1368	-1765	-1970	-1521	-1654	-2104	-1302	-316	-35	308	957	934	1041	1640	1178	2118	325	-559	-1070	-722	-314	-273	
-33	-140	115	1672	1445	456	-795	-1214	-1228	-947	-989	-1246	-1909	-1212	-197	142	366	390	809	427	171	846	1719	826	-183	-603	-610	-201	-184	
-97	-170	142	641	308	-15	-579	-258	-921	-65	-426	-454	-1216	-654	-141	125	158	132	382	312	-302	334	347	510	128	-216	-248	-187	-137	
-185	-443	-478	443	88	-167	-579	17	-180	353	59	-362	-304	-345	109	-112	33	49	74	-214	-586	-69	-14	328	687	160	-128	111	-140	
-217	-622	-381	106	-343	-351	-289	695	470	1333	265	324	373	-162	361	-175	-265	-841	-492	-844	-1515	-535	-731	129	738	1245	95	134	71	
-215	-654	-529	-234	-1474	-604	8	2471	1488	2251	582	2019	941	431	634	-349	-895	-2328	-1942	-1267	-2211	-1632	-1923	-89	704	1534	910	198	189	
-248	-553	-1045	-1427	-1802	-340	401	2623	1752	3488	1569	3927	1972	1441	816	-719	-1635	-3711	-3114	-2069	-3024	-2267	-2929	-878	773	1943	1300	732	647	
-264	-222	-1534	-2934	-2396	-417	631	2357	2506	4088	2352	5168	3851	2173	1180	-1266	-1871	-5051	-4154	-3148	-2342	-2614	-2987	-1221	824	2693	1808	1052	1032	
-291	-273	-1644	-3750	-3146	-305	727	2793	2732	4031	2986	6614	4772	2869	1399	-1073	-2271	-5860	-5414	-3672	-2646	-2758	-3130	-2108	458	3051	2503	867	614	
-423	-472	-1423	-3091	-3036	-900	841	3058	2713	3525	3246	6576	4607	3034	1162	-1177	-2507	-5728	-4974	-3672	-3183	-2267	-3274	-2465	618	3409	3079	699	831	
-328	-450	-1360	-2510	-3083	-1164	879	2660	2298	3226	2650	5502	4201	3162	962	-999	-2670	-5124	-4037	-2754	-2704	-2325	-2814	-1836	305	2693	2791	951	915	
-258	-295	-1250	-1835	-2693	-806	235	1637	1902	1651	2128	4038	3170	2558	780	-238	-1443	-4035	-2777	-1806	-1645	-1906	-2110	-610	481	1722	1571	373	608	
-245	-96	-808	-1286	-1943	-666	-116	974	1167	1370	1327	1889	1770	1862	218	-49	-866	-1930	-1737	-1077	-1036	-1300	-1334	-116	430	767	263	166	387	
-101	-8	-74	-8	-1146	-581	-354	576	276	1127	526	358	356	887	-22	376	-313	-181	-387	-241	-760	-809	-673	307	334	96	191	-41	55	
-208	125	71	310	-117	-449	-1059	139	-8	284	222	-107	-477	-43	-36	536	-119	207	41	90	-158	-226	-82	515	506	-323	-315	-141	-54	
41	113	338	549	440	-276	-1229	-1337	-675	-72	-36	-1654	-1246	-387	-267	276	316	1673	685	281	744	554	1042	597	-14	-829	-1286	-348	-171	
65	242	605	815	1734	114	-1245	-2123	-1872	-1146	-852	-2290	-1713	-521	-491	519	1104	2603	1325	811	1535	898	1771	379	-372	-1339	-1695	-374	-183	
116	187	356	1789	2390	614	-826	-1676	-2256	-2689	-2114	-2956	-1758	-807	-779	477	1338	3301	2357	1182	1886	1684	1840	113	-729	-1891	-1751	-321	-206	
44	-126	302	1924	1889	1269	-275	-998	-1949	-2704	-2479	-3380	-1517	-867	-719	418	906	3158	2072	1501	1675	1684	1267	8	-886	-1679	-1582	-501	-207	
-126	-229	258	655	1388	943	-398	-497	-905	-2734	-1688	-2563	-1381	-394	-310	343	1194	2836	1556	1041	2167	1352	660	153	-359	-1197	-1300	-307	-193	
-148	-251	8	514	758	333	-253	-389	-798	-2184	-1521	-2109	-809	-642	-470	217	744	1995	1058	599	1500	1021	292	-82	-297	-716	-1018	-227	-147	
-156	-198	-74	549	670	35	-58	-202	-216	-1818	-1277	-1155	-1020	-345	-463	67	133	1548	614	528	360	342	-68	-106	-176	-350	-422	-241	-180	
-202	-92	80	141	388	122	-116	-173	-201	-615	-207	-468	-1065	-501	-309	83	125	313	305	41	98	154	9	-95	-169	32	-195	-186	-153	
