-84	-56	73	8	-190	-368	-317	-230	-257	-289	-207	-120	165	109	69	23	-53	-97	-489	-278	-407	
-23	17	8	-55	-200	-259	-334	-318	-323	-309	-41	-34	181	242	101	92	82	-3	-666	-178	-444	
232	84	53	24	-294	-361	-441	-445	-437	-318	-67	67	346	814	210	244	121	-69	-407	-319	-356	
240	90	98	8	-103	-645	-406	-1270	-433	-456	-354	23	464	1062	544	382	227	166	-572	-392	-313	
136	156	592	106	97	-1033	-792	-1398	-1042	-1300	-294	7	723	1359	1036	567	69	-119	-561	-989	-378	
248	631	533	319	-226	-1205	-878	-857	-617	-877	-261	-74	267	1326	1085	248	35	-452	-563	-1178	-439	
224	305	231	-103	-314	-2182	-721	-516	-310	-638	-34	108	377	1112	970	424	278	-311	-289	-496	-378	
149	-35	189	139	-41	-1492	-170	225	216	-516	87	165	275	250	280	202	-236	-209	-259	-297	-334	
-160	-125	-241	-223	-48	-449	331	1099	733	-168	230	102	-20	-159	-93	-210	-530	-266	-156	-141	-296	
-340	-339	-786	-963	16	146	1378	1562	904	351	460	189	-438	-506	-251	-1771	-601	-166	-23	559	-156	
-464	-1107	-1267	-1413	277	677	1585	2385	2267	1571	516	79	-705	-1569	-952	-2099	-1167	-391	-82	1504	113	
-464	-1342	-1821	-1254	595	1493	2224	2985	3017	2655	783	197	-857	-2729	-1942	-2058	-2282	-148	522	2486	490	
-277	-1342	-1748	-1181	916	1875	2672	3328	3597	3282	1456	142	-1315	-3696	-2780	-2249	-2962	-134	1448	3166	506	
-223	-1664	-1690	-1486	1160	1979	3138	3088	3051	3824	1524	379	-1454	-3378	-2807	-2878	-1955	-267	937	2052	542	
-347	-1019	-1602	-1457	480	1962	2793	2248	2165	3282	619	513	-1593	-2619	-2354	-3070	-1643	-474	1126	1749	708	
-222	-800	-434	-223	440	833	1154	876	1483	2452	444	300	-580	-2218	-1502	-1320	-772	262	881	691	358	
-208	-536	8	-96	97	178	169	-21	818	1012	198	79	-352	-1238	-461	-909	-386	578	805	253	-8	
16	33	564	-76	-192	-198	-82	-829	-101	0	-201	-79	-40	-364	-126	-427	464	400	271	-67	-119	
141	264	534	163	-253	-558	-806	-1569	-404	-315	-574	-153	243	266	-73	-99	497	290	-200	-226	-385	
212	311	591	622	-35	-946	-1865	-1896	-1282	-1201	-855	-114	440	798	374	567	735	227	-289	-252	-880	
110	322	899	557	211	-975	-2093	-2295	-1750	-1511	-1051	-47	464	1227	888	683	475	-23	-236	-185	-486	
74	330	387	499	366	-946	-1321	-1839	-1920	-962	-883	0	181	1211	1020	435	506	192	-97	-141	-259	
-77	66	166	376	480	-293	-1479	-914	-1367	-1060	-799	23	346	864	806	645	557	74	-200	-222	-241	
22	44	82	360	226	-259	-907	-95	-773	-610	-214	268	300	235	639	325	95	-63	-197	-187	-185	
