99	231	32	-52	-55	-306	-251	-729	-323	-429	-170	-134	117	117	144	250	266	192	-215	-202	-466	-304	
210	297	98	62	-45	-347	-1050	-729	-437	-1117	-121	-48	236	321	268	410	363	-30	-267	-405	-447	-318	
356	322	180	103	-258	-946	-1693	-1498	-688	-1230	-869	-173	535	1046	478	491	480	111	-461	-478	-599	-442	
473	453	682	8	-144	-1320	-1479	-1768	-1212	-1568	-939	0	972	1805	215	507	409	-186	-824	-444	-1305	-411	
473	338	560	286	-116	-1334	-1235	-900	-1339	-1173	-368	-94	473	1244	658	404	195	-437	-1250	-626	-643	-230	
33	82	250	40	-253	-1579	-792	-288	-659	-567	-112	-14	322	1161	806	401	255	-267	-1297	-1509	-549	-341	
5	82	-24	-185	-362	-1047	32	144	-189	-302	-174	31	306	454	202	139	-308	-123	-511	-496	-178	-191	
-183	-290	-241	-427	-287	-272	517	841	200	0	-14	0	259	109	-112	-151	-608	595	-23	43	17	-8	
-202	-297	-932	-847	130	81	1102	1990	750	656	468	47	-107	-740	-815	-1702	-650	-496	157	498	205	113	
-301	-346	-1850	-963	366	677	1965	2488	1620	1114	523	47	-524	-2246	-1433	-2304	-1071	-504	276	2241	192	117	
-268	-270	-2215	-1370	709	1701	2327	2745	3017	1791	1288	213	-982	-2798	-2024	-1784	-2622	184	805	2429	455	201	
-229	-552	-2083	-1457	521	2083	2862	2865	3375	2824	1742	134	-1412	-3351	-2519	-2359	-2282	-208	1372	2883	376	332	
-84	-1034	-1733	-1123	741	1875	2655	2917	3120	3333	1709	276	-1593	-3475	-2354	-2728	-2472	-1664	455	2864	808	568	
-264	-712	-1719	-1036	456	1753	2534	2351	2676	3062	1052	221	-1121	-3143	-2299	-2591	-1751	-813	578	2486	752	664	
24	-463	-427	-78	171	816	981	1287	1142	2079	174	-81	-788	-1334	-1364	-1320	-1439	911	1202	899	402	507	
-65	-173	16	-83	62	105	298	321	682	792	-374	-267	-566	-630	-691	-505	-704	285	455	253	271	-8	
16	181	509	237	57	16	-285	-445	-81	39	-421	-47	-213	-423	-422	-499	386	481	0	-289	-37	-267	
0	256	740	212	236	-538	-392	-1441	-645	-441	-380	-202	-86	-14	-86	-230	735	543	-230	-540	-200	-174	
33	198	469	360	277	-831	-1693	-1569	-1481	-1215	-644	-60	86	699	273	450	849	605	-200	-441	-348	-363	
79	239	380	409	220	-1047	-2008	-2195	-2245	-1610	-911	-293	314	831	523	497	499	250	-348	-301	-326	-191	
-14	280	404	338	-14	-630	-1479	-1740	-1735	-1525	-521	-207	157	399	494	451	400	-200	-310	-292	-304	-185	
137	74	369	301	0	-381	-1378	-1142	-1353	-1201	-630	-167	188	329	429	416	95	-120	-343	-252	-252	-111	
99	75	156	175	-164	-306	-427	-473	-532	-1060	-321	-14	393	431	368	380	100	-30	-274	-219	-142	-30	
16	21	-21	45	-226	-220	-380	-445	-296	-680	-334	-207	181	289	234	194	150	-200	-278	-180	-67	148	
