22	-140	-6	-35	41	-187	-232	-259	56	64	200	398	346	152	-179	-278	-185	-321	
75	41	-3	34	-87	-340	-321	-530	-278	64	264	843	523	324	-246	-588	-636	-581	
14	21	58	-28	-83	-833	-650	-1018	-407	0	583	1029	968	681	-332	-823	-897	-759	
2	-28	30	-83	-319	-1370	-1228	-961	-463	-27	1040	859	951	881	-133	-533	-514	-394	
8	-105	0	-14	-344	-1355	-505	-498	-278	-68	1125	707	800	347	-14	-93	-261	-256	
-91	-174	-136	-28	98	-96	16	-245	-163	-162	480	-81	-21	79	62	-172	-178	-227	
-154	-378	-340	-56	320	442	733	454	-170	-559	-337	-1046	-308	-293	102	109	273	129	
-210	-836	-568	-90	334	1605	2104	1424	476	-744	-1877	-1779	-1542	-1341	110	305	347	271	
-496	-762	-1283	-332	776	2150	3152	2049	567	-886	-2500	-2568	-2439	-1816	70	305	373	341	
-426	-496	-1636	-297	829	2642	3519	2986	653	-616	-3151	-3244	-2747	-2123	86	235	251	289	
-196	-526	-1121	-380	723	2589	2942	2413	912	-772	-3052	-3160	-2789	-1885	110	266	262	250	
-175	-348	-488	-387	-14	1166	1510	1042	153	-203	-1693	-1723	-1752	-1021	78	391	281	264	
-42	-209	-243	-207	-275	-21	391	-109	-122	-223	-504	-289	-454	-74	283	195	171	23	
208	258	16	-132	-351	-499	-192	-731	-269	8	-229	247	198	300	191	32	-165	-150	
235	366	257	-132	-330	-1196	-968	-1406	-231	152	352	1063	1035	324	62	-91	-204	-163	
171	325	142	-145	-596	-1486	-1993	-1694	-461	281	1245	1740	1490	848	-173	-238	-191	-128	
74	133	134	-138	-399	-1138	-2080	-1579	-319	506	1125	1266	1658	371	-279	-469	-245	-179	
92	175	137	90	-275	-383	-1069	-889	-251	168	801	588	1204	387	-312	-547	-300	-243	
26	-14	84	90	-214	-309	-333	-630	-95	-27	563	374	1019	363	-173	-271	-165	-214	
-13	12	124	-18	-104	-302	-312	-257	-68	-75	232	103	317	55	-27	-119	-121	-248	
