-29	134	96	77	-119	-317	-441	-395	-501	-121	176	223	318	214	126	
42	100	66	33	-97	-117	-1181	-347	-846	-359	40	192	268	214	71	
14	0	51	190	8	-282	-1181	-751	-1033	-515	152	699	350	259	142	
92	33	112	108	0	-138	-1079	-1170	-860	-663	-54	382	353	333	201	
201	58	50	56	-7	-307	-1007	-423	-504	-406	-115	134	350	150	117	
131	-105	-35	-101	-166	-76	-261	179	-62	-285	-170	-81	-21	-54	-7	
-140	-182	-119	-257	-221	263	278	1055	365	8	-196	-444	-807	-364	-588	
-386	-398	-674	-620	-551	353	1974	2593	1667	476	-284	-1311	-2174	-1121	-1272	
-615	-1355	-1058	-1062	-624	882	2906	3833	2674	895	-559	-2316	-3188	-2060	-1871	
-365	-1341	-881	-1091	-580	1076	3064	3222	2952	1568	-388	-3293	-3738	-2579	-1927	
-281	-573	-1073	-473	-265	369	2466	2086	2517	670	-559	-3166	-2836	-2579	-1718	
-141	-335	-674	-354	-373	-35	1535	1824	1302	688	-277	-1580	-1765	-1598	-1048	
-99	-154	-425	-167	-536	-200	163	479	154	170	-102	-702	-652	-454	-87	
109	-112	-174	-21	-373	-494	-499	-362	-673	-55	0	208	31	333	411	
-29	150	58	257	-442	-538	-1152	-665	-1722	-190	72	504	470	850	764	
-92	120	233	66	-449	-450	-1312	-968	-1895	-387	233	818	1351	1490	1065	
-120	192	220	58	-228	-358	-1079	-1098	-1464	-414	217	580	1063	1035	563	
-127	116	233	174	-125	-255	-1123	-939	-1176	-393	249	384	995	1170	482	
-62	167	172	53	-118	-186	-775	-564	-328	-278	120	376	398	373	268	
