-116	-22	-57	-226	-244	-312	-325	-124	-76	260	-89	-156	
-49	-73	-176	-233	-327	-464	-375	-220	-103	578	97	-100	
-78	-43	-113	-203	-614	-929	-580	-385	401	1422	97	-89	
-27	169	-29	-154	-807	-620	-1210	-227	691	1929	292	315	
-36	195	50	-42	-1088	-1503	-1723	-172	384	1597	521	533	
-128	77	193	-28	-955	-1283	-1005	-110	139	741	573	252	
-135	50	103	201	-188	-326	-263	-110	-226	-48	32	64	
-583	-373	-29	201	300	635	421	-90	-1181	-1112	-875	-298	
-673	-957	-260	301	1014	3194	2197	148	-1863	-2744	-2311	-463	
-403	-1452	-361	50	1356	3247	2232	279	-2211	-3033	-2742	-339	
-36	-957	-316	8	1536	2675	1734	246	-1181	-1690	-1995	-506	
195	-852	-391	-112	525	1190	1112	271	-122	-881	-731	-407	
20	-443	-344	-273	91	-77	231	154	57	-219	24	0	
